$0;1776059370638195069;1.15-SNAPSHOT;KIEKER;2c60425710cd;1;false;0;NANOSECONDS;0
$1;1776059500545183120;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639245;1776059500507549873;1776059500545148828;2c60425710cd;2;1
$1;1776059500546071686;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639244;1776059500533252087;1776059500546053049;2c60425710cd;5;1
$1;1776059500555761500;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639245;1776059500545300153;1776059500555741381;2c60425710cd;5;1
$1;1776059500556365549;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639244;1776059500488567295;1776059500556348984;2c60425710cd;0;0
$1;1776059500557381294;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639245;1776059500488584913;1776059500557369624;2c60425710cd;0;0
$1;1776059500966406706;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639246;1776059500942664864;1776059500966330957;2c60425710cd;1;1
$1;1776059500984631328;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639246;1776059500966535639;1776059500984578838;2c60425710cd;2;1
$1;1776059501029733892;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639246;1776059500984781012;1776059501029695127;2c60425710cd;5;1
$1;1776059501034902020;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639246;1776059500942585526;1776059501034877035;2c60425710cd;0;0
$1;1776059501103102638;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639247;1776059501072444810;1776059501103065713;2c60425710cd;1;1
