$0;1776135780121573871;1.15-SNAPSHOT;KIEKER;7fc98c33473d;1;false;0;NANOSECONDS;0
$1;1776135862020381865;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374288;1776135861957566800;1776135862020355348;7fc98c33473d;1;1
$1;1776135862093843317;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374288;1776135862020711816;1776135862093355012;7fc98c33473d;2;1
$1;1776135862112906493;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374288;1776135862093953860;1776135862112878075;7fc98c33473d;5;1
$1;1776135862124858576;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374288;1776135861957539986;1776135862124826582;7fc98c33473d;0;0
$1;1776135862283028930;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374289;1776135862266478214;1776135862283005995;7fc98c33473d;1;1
$1;1776135862298427428;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374289;1776135862283492992;1776135862298406663;7fc98c33473d;2;1
$1;1776135862333253496;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374289;1776135862298798597;1776135862333206696;7fc98c33473d;5;1
$1;1776135862388074098;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374289;1776135862266441954;1776135862388050598;7fc98c33473d;0;0
$1;1776135862399161490;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374290;1776135862374416114;1776135862399129981;7fc98c33473d;1;1
$1;1776135862427146654;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374290;1776135862399583976;1776135862427125699;7fc98c33473d;2;1
$1;1776135862469724749;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374290;1776135862427628791;1776135862469702624;7fc98c33473d;5;1
$1;1776135862477820695;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374290;1776135862374394754;1776135862477784690;7fc98c33473d;0;0
$1;1776135862650429711;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374291;1776135862639565462;1776135862650400909;7fc98c33473d;1;1
$1;1776135862661409496;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374291;1776135862650885189;1776135862661384536;7fc98c33473d;2;1
$1;1776135862685285030;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374291;1776135862661953090;1776135862685256025;7fc98c33473d;5;1
$1;1776135862688161263;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374291;1776135862639542210;1776135862688140480;7fc98c33473d;0;0
