$0;1776057807766803671;1.15-SNAPSHOT;KIEKER;85532af5fb67;1;false;0;NANOSECONDS;0
$1;1776057938977268747;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8919238324518912017;1776057938862590717;1776057938977234175;85532af5fb67;0;0
$1;1776057939105208347;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8919238324518912018;1776057939077304762;1776057939105185291;85532af5fb67;1;1
$1;1776057939119634791;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8919238324518912018;1776057939105301043;1776057939119601577;85532af5fb67;2;1
$1;1776057939162328335;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8919238324518912018;1776057939120227108;1776057939162278189;85532af5fb67;5;1
$1;1776057939164596364;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8919238324518912018;1776057939077283415;1776057939164585205;85532af5fb67;0;0
$1;1776057939488508857;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8919238324518912019;1776057939473840507;1776057939488478862;85532af5fb67;1;1
$1;1776057939508890231;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8919238324518912019;1776057939489119723;1776057939508858790;85532af5fb67;2;1
$1;1776057939526282701;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8919238324518912019;1776057939509399289;1776057939526251073;85532af5fb67;5;1
$1;1776057939529646748;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8919238324518912019;1776057939473809751;1776057939529623098;85532af5fb67;0;0
$1;1776057939580747414;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8919238324518912020;1776057939566099507;1776057939580718056;85532af5fb67;1;1
$1;1776057939591555049;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8919238324518912020;1776057939580860140;1776057939591531899;85532af5fb67;2;1
$1;1776057939604501807;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8919238324518912020;1776057939591935847;1776057939604476744;85532af5fb67;5;1
$1;1776057939616115799;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8919238324518912020;1776057939566071215;1776057939616083605;85532af5fb67;0;0
$1;1776057939791835919;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8919238324518912021;1776057939755076286;1776057939791798701;85532af5fb67;1;1
$1;1776057939828464209;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8919238324518912021;1776057939791944377;1776057939828434780;85532af5fb67;2;1
$1;1776057939843454900;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8919238324518912021;1776057939828579906;1776057939843426784;85532af5fb67;5;1
$1;1776057939871088342;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8919238324518912021;1776057939755039997;1776057939868941207;85532af5fb67;0;0
$1;1776057940024279381;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8919238324518912022;1776057940012192476;1776057940024255159;85532af5fb67;1;1
$1;1776057940035048019;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8919238324518912022;1776057940024370940;1776057940034997438;85532af5fb67;2;1
