$0;1776129739865100523;1.15-SNAPSHOT;KIEKER;1fdd072a47d5;1;false;0;NANOSECONDS;0
$1;1776129872450509477;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140074001;1776129872429369392;1776129872450481885;1fdd072a47d5;2;1
$1;1776129872465530092;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140074001;1776129872450602549;1776129872465480909;1fdd072a47d5;5;1
$1;1776129872467898506;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140074001;1776129872413337138;1776129872467877069;1fdd072a47d5;0;0
$1;1776129872583714787;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140074002;1776129872564322446;1776129872583685118;1fdd072a47d5;1;1
$1;1776129872598187357;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140074002;1776129872584084114;1776129872598165277;1fdd072a47d5;2;1
$1;1776129872611073422;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140074002;1776129872598618663;1776129872611050492;1fdd072a47d5;5;1
$1;1776129872613064045;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140074002;1776129872564293771;1776129872613044250;1fdd072a47d5;0;0
$1;1776129872777138457;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140074003;1776129872764255291;1776129872777092200;1fdd072a47d5;1;1
$1;1776129872789388990;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140074003;1776129872777593142;1776129872789359690;1fdd072a47d5;2;1
$1;1776129872800808511;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140074003;1776129872789490170;1776129872800766014;1fdd072a47d5;5;1
$1;1776129872804065247;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140074003;1776129872764214259;1776129872804030401;1fdd072a47d5;0;0
$1;1776129872927033758;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140074004;1776129872897261970;1776129872927012928;1fdd072a47d5;1;1
$1;1776129872942849639;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140074004;1776129872927107144;1776129872942826918;1fdd072a47d5;2;1
$1;1776129872961947535;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140074004;1776129872942924609;1776129872961917585;1fdd072a47d5;5;1
$1;1776129872978498193;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140074004;1776129872897232971;1776129872978471772;1fdd072a47d5;0;0
$1;1776129873175254408;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140074005;1776129873156382579;1776129873175190775;1fdd072a47d5;1;1
$1;1776129873189466916;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140074005;1776129873175876798;1776129873189435307;1fdd072a47d5;2;1
$1;1776129873206050476;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140074005;1776129873189968963;1776129873206015367;1fdd072a47d5;5;1
$1;1776129873209412581;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140074005;1776129873156350812;1776129873209380890;1fdd072a47d5;0;0
$1;1776129873283702694;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140074006;1776129873267836219;1776129873283666842;1fdd072a47d5;1;1
$1;1776129873298038643;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140074006;1776129873284276901;1776129873298005686;1fdd072a47d5;2;1
$1;1776129873327842878;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140074006;1776129873301108421;1776129873327811125;1fdd072a47d5;5;1
