$0;1776129380382921031;1.15-SNAPSHOT;KIEKER;1d1e0cfaac31;1;false;0;NANOSECONDS;0
$1;1776129510170527581;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590669;1776129510152042312;1776129510170385956;1d1e0cfaac31;1;1
$1;1776129510180528245;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590669;1776129510170925047;1776129510180505190;1d1e0cfaac31;2;1
$1;1776129510190855287;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590669;1776129510180940775;1776129510190831492;1d1e0cfaac31;5;1
$1;1776129510193723163;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590669;1776129510152014982;1776129510193710416;1d1e0cfaac31;0;0
$1;1776129510517468913;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590670;1776129510502075202;1776129510517430906;1d1e0cfaac31;1;1
$1;1776129510552448600;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590670;1776129510517581469;1776129510552406836;1d1e0cfaac31;2;1
$1;1776129510578344641;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590670;1776129510552563253;1776129510578306523;1d1e0cfaac31;5;1
$1;1776129510580328176;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590670;1776129510502030902;1776129510580314869;1d1e0cfaac31;0;0
$1;1776129510804413429;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590671;1776129510790039649;1776129510804389910;1d1e0cfaac31;1;1
$1;1776129510817950155;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590671;1776129510804817476;1776129510817920639;1d1e0cfaac31;2;1
$1;1776129510838264412;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590671;1776129510818047003;1776129510838233421;1d1e0cfaac31;5;1
$1;1776129510848697269;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590671;1776129510790005249;1776129510848663601;1d1e0cfaac31;0;0
$1;1776129510906538384;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590672;1776129510892818272;1776129510906506496;1d1e0cfaac31;1;1
$1;1776129510948779831;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590672;1776129510906639001;1776129510948752475;1d1e0cfaac31;2;1
$1;1776129510965981524;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590672;1776129510949267068;1776129510965947847;1d1e0cfaac31;5;1
$1;1776129510969872538;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590672;1776129510892780251;1776129510969845169;1d1e0cfaac31;0;0
$1;1776129511039818233;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590673;1776129511021952918;1776129511039785007;1d1e0cfaac31;1;1
