$0;1776117081203445080;1.15-SNAPSHOT;KIEKER;3cff4cba5857;1;false;0;NANOSECONDS;0
$1;1776117213411247234;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4540472849319591960;1776117213308926160;1776117213411210474;3cff4cba5857;2;1
$1;1776117213421981760;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4540472849319591960;1776117213411374310;1776117213421937855;3cff4cba5857;5;1
$1;1776117213423494351;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4540472849319591960;1776117213292199881;1776117213423482701;3cff4cba5857;0;0
$1;1776117213527175796;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4540472849319591962;1776117213509184150;1776117213527150035;3cff4cba5857;1;1
$1;1776117213564132008;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4540472849319591961;1776117213473382772;1776117213564109273;3cff4cba5857;1;1
$1;1776117213587515033;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4540472849319591962;1776117213527269567;1776117213587485216;3cff4cba5857;2;1
$1;1776117213621209741;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4540472849319591961;1776117213564488327;1776117213621182768;3cff4cba5857;2;1
$1;1776117213625187988;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4540472849319591962;1776117213587638513;1776117213625166521;3cff4cba5857;5;1
$1;1776117213627429154;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4540472849319591962;1776117213509161448;1776117213627414946;3cff4cba5857;0;0
$1;1776117213682962781;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4540472849319591961;1776117213621302373;1776117213682934713;3cff4cba5857;5;1
$1;1776117213685080656;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4540472849319591961;1776117213473324447;1776117213685064479;3cff4cba5857;0;0
