$0;1776139314968881554;1.15-SNAPSHOT;KIEKER;4c3518970fc5;1;false;0;NANOSECONDS;0
$1;1776139441081420396;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1782581027508584461;1776139441021786193;1776139441081399216;4c3518970fc5;0;0
$1;1776139441388545022;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1782581027508584462;1776139441360579355;1776139441388470412;4c3518970fc5;1;1
$1;1776139441399546829;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1782581027508584463;1776139441360890913;1776139441399486370;4c3518970fc5;1;1
$1;1776139441434171335;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1782581027508584462;1776139441388694855;1776139441434119533;4c3518970fc5;2;1
$1;1776139441450994450;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1782581027508584463;1776139441399650758;1776139441450921603;4c3518970fc5;2;1
$1;1776139441474632157;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1782581027508584462;1776139441434293751;1776139441474583522;4c3518970fc5;5;1
$1;1776139441495662878;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1782581027508584462;1776139441360541853;1776139441495625317;4c3518970fc5;0;0
$1;1776139441581167266;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1782581027508584463;1776139441451144353;1776139441581117999;4c3518970fc5;5;1
$1;1776139441583671646;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1782581027508584463;1776139441360868993;1776139441583656886;4c3518970fc5;0;0
$1;1776139441680994596;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1782581027508584464;1776139441631248343;1776139441680972511;4c3518970fc5;1;1
