$0;1776117817428930433;1.15-SNAPSHOT;KIEKER;d815357b3c45;1;false;0;NANOSECONDS;0
$1;1776117946527147813;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3065543971355754513;1776117946508812813;1776117946527125083;d815357b3c45;1;1
$1;1776117946530745387;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3065543971355754512;1776117946489936943;1776117946530728147;d815357b3c45;2;1
$1;1776117946543269412;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3065543971355754513;1776117946527218681;1776117946543249536;d815357b3c45;2;1
$1;1776117946554414136;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3065543971355754513;1776117946543335268;1776117946554388524;d815357b3c45;5;1
$1;1776117946557691034;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3065543971355754513;1776117946508793479;1776117946557675885;d815357b3c45;0;0
$1;1776117946570138422;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3065543971355754512;1776117946530811807;1776117946570116413;d815357b3c45;5;1
$1;1776117946572215392;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3065543971355754512;1776117946480738945;1776117946572203304;d815357b3c45;0;0
$1;1776117946877689548;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3065543971355754514;1776117946866123976;1776117946877658622;d815357b3c45;1;1
$1;1776117946885023886;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3065543971355754514;1776117946877758445;1776117946884995420;d815357b3c45;2;1
$1;1776117946893730774;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3065543971355754514;1776117946885306485;1776117946893711608;d815357b3c45;5;1
$1;1776117946895565776;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3065543971355754514;1776117946866070362;1776117946895553518;d815357b3c45;0;0
$1;1776117947091778597;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3065543971355754515;1776117947081942640;1776117947091747042;d815357b3c45;1;1
$1;1776117947107088208;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3065543971355754515;1776117947092178375;1776117947107068471;d815357b3c45;2;1
$1;1776117947110049317;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3065543971355754516;1776117947087918051;1776117947110036993;d815357b3c45;1;1
$1;1776117947120016095;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3065543971355754515;1776117947107151790;1776117947119990720;d815357b3c45;5;1
