$0;1776135157433430626;1.15-SNAPSHOT;KIEKER;8807d6f4f0f1;1;false;0;NANOSECONDS;0
$1;1776135234565079305;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4788170828824969233;1776135234499702247;1776135234565062403;8807d6f4f0f1;0;0
$1;1776135234628526771;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4788170828824969234;1776135234611963267;1776135234628496523;8807d6f4f0f1;1;1
$1;1776135234658920659;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4788170828824969234;1776135234629037722;1776135234658874277;8807d6f4f0f1;2;1
$1;1776135234673811483;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4788170828824969234;1776135234659039563;1776135234673790275;8807d6f4f0f1;5;1
$1;1776135234678436418;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4788170828824969234;1776135234611927692;1776135234678419548;8807d6f4f0f1;0;0
$1;1776135234885035793;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4788170828824969235;1776135234872421867;1776135234885008633;8807d6f4f0f1;1;1
$1;1776135234903053724;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4788170828824969235;1776135234885491843;1776135234903024030;8807d6f4f0f1;2;1
$1;1776135234918633740;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4788170828824969235;1776135234903569214;1776135234918561532;8807d6f4f0f1;5;1
$1;1776135234923403818;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4788170828824969235;1776135234872384947;1776135234923384277;8807d6f4f0f1;0;0
$1;1776135235004644472;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4788170828824969236;1776135234980500840;1776135235004607042;8807d6f4f0f1;1;1
$1;1776135235023342218;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4788170828824969236;1776135235005422742;1776135235022226137;8807d6f4f0f1;2;1
$1;1776135235035023961;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4788170828824969236;1776135235023497426;1776135235035002513;8807d6f4f0f1;5;1
