$0;1776134293473230467;1.15-SNAPSHOT;KIEKER;63694ba7d325;1;false;0;NANOSECONDS;0
$1;1776134376230762252;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7880032710503170062;1776134376123018009;1776134376230735879;63694ba7d325;0;0
$1;1776134376486740572;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7880032710503170063;1776134376413351719;1776134376486696483;63694ba7d325;1;1
$1;1776134376516335261;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7880032710503170063;1776134376486902673;1776134376516299313;63694ba7d325;2;1
$1;1776134376569975955;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7880032710503170063;1776134376516447516;1776134376569953032;63694ba7d325;5;1
$1;1776134376584496949;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7880032710503170063;1776134376413325952;1776134376584465239;63694ba7d325;0;0
$1;1776134376613230828;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7880032710503170064;1776134376591577212;1776134376613208525;63694ba7d325;1;1
$1;1776134376692090402;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7880032710503170064;1776134376613619036;1776134376692059481;63694ba7d325;2;1
$1;1776134376694203375;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7880032710503170065;1776134376671128962;1776134376694180585;63694ba7d325;1;1
$1;1776134376727163853;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7880032710503170065;1776134376694282908;1776134376727126189;63694ba7d325;2;1
$1;1776134376764020634;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7880032710503170065;1776134376727282530;1776134376763988732;63694ba7d325;5;1
