$0;1776059729571648046;1.15-SNAPSHOT;KIEKER;e189131b4c30;1;false;0;NANOSECONDS;0
$1;1776059861707614592;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3360107534483456024;1776059861687216485;1776059861707572203;e189131b4c30;2;1
$1;1776059861737844622;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3360107534483456024;1776059861708149602;1776059861737820153;e189131b4c30;5;1
$1;1776059861739678418;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3360107534483456024;1776059861670316643;1776059861739666275;e189131b4c30;0;0
$1;1776059862069148474;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3360107534483456025;1776059862037523782;1776059862069120669;e189131b4c30;1;1
$1;1776059862078366780;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3360107534483456025;1776059862069237203;1776059862078299607;e189131b4c30;2;1
$1;1776059862100195893;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3360107534483456025;1776059862078935987;1776059862100167657;e189131b4c30;5;1
$1;1776059862102877030;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3360107534483456025;1776059862037472428;1776059862102857850;e189131b4c30;0;0
$1;1776059862161128193;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3360107534483456026;1776059862116253506;1776059862161092518;e189131b4c30;1;1
$1;1776059862183511009;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3360107534483456026;1776059862161868427;1776059862183481750;e189131b4c30;2;1
$1;1776059862223833765;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3360107534483456027;1776059862195879714;1776059862223793697;e189131b4c30;1;1
$1;1776059862233037982;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3360107534483456026;1776059862183609841;1776059862233017884;e189131b4c30;5;1
$1;1776059862239208066;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3360107534483456026;1776059862116224728;1776059862239186246;e189131b4c30;0;0
