$0;1776118179627378582;1.15-SNAPSHOT;KIEKER;d61a971a8f9d;1;false;0;NANOSECONDS;0
$1;1776118307036228840;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2130765573699665939;1776118306991910792;1776118307036203154;d61a971a8f9d;2;1
$1;1776118307047437208;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2130765573699665940;1776118307020362368;1776118307047414880;d61a971a8f9d;5;1
$1;1776118307052919259;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2130765573699665939;1776118307036665317;1776118307052874347;d61a971a8f9d;5;1
$1;1776118307054005045;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2130765573699665940;1776118306970971181;1776118307053966042;d61a971a8f9d;0;0
$1;1776118307062637807;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2130765573699665939;1776118306968536523;1776118307062619455;d61a971a8f9d;0;0
$1;1776118307471394229;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2130765573699665941;1776118307443806004;1776118307471356649;d61a971a8f9d;1;1
$1;1776118307471394209;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2130765573699665942;1776118307453295862;1776118307471356662;d61a971a8f9d;1;1
$1;1776118307483152922;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2130765573699665942;1776118307471497028;1776118307483123706;d61a971a8f9d;2;1
$1;1776118307499850944;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2130765573699665942;1776118307483261441;1776118307499815149;d61a971a8f9d;5;1
$1;1776118307505461752;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2130765573699665942;1776118307453261492;1776118307505425871;d61a971a8f9d;0;0
$1;1776118307512624593;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2130765573699665941;1776118307471496920;1776118307512585408;d61a971a8f9d;2;1
