$0;1776117451951631780;1.15-SNAPSHOT;KIEKER;d3e381526cf6;1;false;0;NANOSECONDS;0
$1;1776117581040788171;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3845088919355916306;1776117580995829132;1776117581040777126;d3e381526cf6;0;0
$1;1776117581315852274;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3845088919355916308;1776117581299165495;1776117581315830996;d3e381526cf6;1;1
$1;1776117581320734746;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3845088919355916307;1776117581299277268;1776117581320712956;d3e381526cf6;1;1
$1;1776117581337037808;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3845088919355916308;1776117581315932628;1776117581337018490;d3e381526cf6;2;1
$1;1776117581347444077;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3845088919355916309;1776117581327717789;1776117581347423444;d3e381526cf6;1;1
$1;1776117581349999667;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3845088919355916307;1776117581320799696;1776117581349984473;d3e381526cf6;2;1
$1;1776117581359180649;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3845088919355916308;1776117581339519663;1776117581359158274;d3e381526cf6;5;1
$1;1776117581377387629;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3845088919355916307;1776117581350348412;1776117581377280829;d3e381526cf6;5;1
$1;1776117581379691876;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3845088919355916307;1776117581299141266;1776117581379678634;d3e381526cf6;0;0
$1;1776117581381634635;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3845088919355916308;1776117581299145430;1776117581381613982;d3e381526cf6;0;0
$1;1776117581385582535;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3845088919355916309;1776117581347513470;1776117581385571583;d3e381526cf6;2;1
