$0;1776140576263451108;1.15-SNAPSHOT;KIEKER;ab64560a3a36;1;false;0;NANOSECONDS;0
$1;1776140710683539930;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5917307697899765782;1776140710638320274;1776140710683514783;ab64560a3a36;5;1
$1;1776140710687023387;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5917307697899765781;1776140710564516917;1776140710687002649;ab64560a3a36;0;0
$1;1776140710691588005;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5917307697899765782;1776140710576072492;1776140710691565632;ab64560a3a36;0;0
$1;1776140710824491553;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5917307697899765783;1776140710809942999;1776140710824468810;ab64560a3a36;1;1
$1;1776140710850586869;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5917307697899765783;1776140710824561497;1776140710850557709;ab64560a3a36;2;1
$1;1776140710874860720;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5917307697899765783;1776140710850685519;1776140710874829840;ab64560a3a36;5;1
$1;1776140710878811135;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5917307697899765783;1776140710809916520;1776140710878788152;ab64560a3a36;0;0
$1;1776140710978458843;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5917307697899765784;1776140710942597052;1776140710978426273;ab64560a3a36;1;1
$1;1776140711017603491;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5917307697899765784;1776140710979007643;1776140711017565669;ab64560a3a36;2;1
$1;1776140711051398557;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5917307697899765785;1776140710992742238;1776140711051373057;ab64560a3a36;1;1
