$0;1776138586916638340;1.15-SNAPSHOT;KIEKER;ff63fb3914ef;1;false;0;NANOSECONDS;0
$1;1776138711082227176;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4916101205739962381;1776138711016152472;1776138711082184888;ff63fb3914ef;1;1
$1;1776138711329745139;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4916101205739962381;1776138711082396362;1776138711329695867;ff63fb3914ef;2;1
$1;1776138711330458721;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4916101205739962382;1776138711280544452;1776138711330416542;ff63fb3914ef;1;1
$1;1776138711471071454;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4916101205739962382;1776138711330904036;1776138711471030835;ff63fb3914ef;2;1
$1;1776138711572387703;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4916101205739962382;1776138711471804066;1776138711572360518;ff63fb3914ef;5;1
$1;1776138711574619112;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4916101205739962382;1776138711280521334;1776138711574606602;ff63fb3914ef;0;0
$1;1776138711575970651;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4916101205739962381;1776138711329884439;1776138711575931633;ff63fb3914ef;5;1
$1;1776138711577879450;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4916101205739962381;1776138711016110204;1776138711577867182;ff63fb3914ef;0;0
$1;1776138711634245326;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4916101205739962383;1776138711483590875;1776138711634211154;ff63fb3914ef;1;1
$1;1776138711796995341;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4916101205739962383;1776138711634343922;1776138711796923889;ff63fb3914ef;2;1
$1;1776138711822440241;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4916101205739962383;1776138711797156024;1776138711822353379;ff63fb3914ef;5;1
$1;1776138711874950069;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4916101205739962383;1776138711483549770;1776138711874886900;ff63fb3914ef;0;0
$1;1776138712028753307;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4916101205739962384;1776138712004202474;1776138712025957431;ff63fb3914ef;1;1
$1;1776138712085445804;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4916101205739962385;1776138712059081046;1776138712085410939;ff63fb3914ef;1;1
