$0;1776111449606733853;1.15-SNAPSHOT;KIEKER;f0fdca49a211;1;false;0;NANOSECONDS;0
$1;1776111573072162634;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;854698766781906960;1776111572856767844;1776111573072133785;f0fdca49a211;5;1
$1;1776111573097679194;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;854698766781906960;1776111572488891331;1776111573097647787;f0fdca49a211;0;0
$1;1776111573099251903;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;854698766781906955;1776111572885580678;1776111573099233167;f0fdca49a211;5;1
$1;1776111573100901123;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;854698766781906955;1776111571578890654;1776111573100888055;f0fdca49a211;0;0
$1;1776111573105716094;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;854698766781906957;1776111573049033112;1776111573105700259;f0fdca49a211;5;1
$1;1776111573117975231;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;854698766781906957;1776111571879423327;1776111573117943098;f0fdca49a211;0;0
$1;1776111573171882443;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;854698766781906961;1776111573019341070;1776111573171835470;f0fdca49a211;5;1
$1;1776111573179820187;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;854698766781906962;1776111573033909154;1776111573179791355;f0fdca49a211;2;1
$1;1776111573187363295;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;854698766781906961;1776111572849944990;1776111573187335337;f0fdca49a211;0;0
$1;1776111573228837335;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;854698766781906962;1776111573179920327;1776111573228810350;f0fdca49a211;5;1
